N,P,K,temperature,humidity,ph,rainfall,label
37,61,19,18.6852,30.4966,6.6564,137.2954,pigeonpeas
13,78,24,19.3968,45.5311,7.4398,138.3082,pigeonpeas
12,79,21,31.6982,31.6858,4.8307,138.5018,pigeonpeas
7,78,14,34.3542,61.7569,5.6794,168.2423,pigeonpeas
34,58,16,21.8768,59.4859,5.0009,149.0881,pigeonpeas
8,57,21,26.7558,68.6687,5.7815,164.7727,pigeonpeas
3,68,20,20.8267,61.477,7.868,193.7732,pigeonpeas
18,65,18,28.5543,37.4272,7.3909,171.2773,pigeonpeas
0,65,13,35.7133,51.9192,6.7846,132.2813,pigeonpeas
12,60,13,33.5092,57.4171,5.2141,89.8675,pigeonpeas
22,62,22,27.0408,50.2142,5.3676,100.826,pigeonpeas
16,64,16,23.6822,55.1358,6.6044,122.8729,pigeonpeas
1,57,22,22.9121,59.0024,6.4067,110.4039,pigeonpeas
36,80,18,24.5611,39.8837,5.3103,148.2124,pigeonpeas
17,75,18,33.2275,49.6093,5.7966,129.6937,pigeonpeas
13,70,21,35.4102,52.9733,7.2133,104.4491,pigeonpeas
37,59,17,28.6132,67.312,5.7728,121.6564,pigeonpeas
34,60,23,27.4584,51.5037,6.8842,127.2178,pigeonpeas
19,76,22,31.8444,44.4976,5.8884,137.202,pigeonpeas
44,67,23,26.765,53.8234,6.0163,110.5734,pigeonpeas
39,79,14,33.5982,32.0933,5.7356,151.5422,pigeonpeas
27,68,16,20.5397,51.7864,6.6056,137.0366,pigeonpeas
34,61,21,21.2752,55.2042,5.5782,105.0936,pigeonpeas
13,78,26,26.0374,64.4854,6.3539,106.7616,pigeonpeas
27,59,24,29.1954,31.2852,5.6281,153.4875,pigeonpeas
22,61,20,29.1372,32.5381,5.1919,96.2099,pigeonpeas
25,74,22,24.6058,42.3199,6.6287,170.6435,pigeonpeas
25,71,21,35.3448,33.6306,4.7589,186.5667,pigeonpeas
31,60,22,21.9807,52.231,7.4551,170.5986,pigeonpeas
0,54,19,31.6694,50.8223,7.3518,93.8121,pigeonpeas
38,55,24,33.6832,35.5366,4.8405,132.6881,pigeonpeas
36,56,19,19.594,52.6776,5.1474,165.4495,pigeonpeas
28,58,20,22.0688,59.397,5.5177,182.2167,pigeonpeas
24,72,15,24.1842,34.0434,6.8749,130.7623,pigeonpeas
4,77,14,34.2667,49.337,5.8176,186.3212,pigeonpeas
28,54,25,20.6784,38.6701,5.4336,86.7103,pigeonpeas
20,64,23,34.875,51.9514,5.6534,133.7371,pigeonpeas
27,55,15,26.2061,38.2368,7.4979,103.6177,pigeonpeas
18,78,19,32.642,50.224,4.6197,90.7395,pigeonpeas
13,63,14,20.8551,32.2462,5.2512,101.2772,pigeonpeas
17,70,13,18.5261,46.1906,6.315,180.7888,pigeonpeas
32,68,18,32.8401,57.0798,6.2469,123.3081,pigeonpeas
16,68,14,18.7085,40.4761,6.6854,105.7068,pigeonpeas
29,56,17,26.1592,47.3217,4.1971,51.0028,mothbeans
3,49,23,30.5601,47.9406,8.8229,35.3167,mothbeans
6,35,22,26.4151,43.2609,6.1676,60.9767,mothbeans
30,40,20,29.0708,45.9293,5.7936,68.5837,mothbeans
12,42,15,26.0549,45.364,6.0821,77.3877,mothbeans
9,55,17,31.0382,50.6753,7.0975,39.4252,mothbeans
20,53,22,27.4351,44.4695,5.8052,68.0687,mothbeans
3,40,23,26.3535,64.1611,8.8917,42.4508,mothbeans
32,44,17,24.6594,50.2833,6.7252,66.2979,mothbeans
26,54,17,28.1372,54.442,5.6454,58.2447,mothbeans
38,54,15,29.5212,62.824,5.972,50.0294,mothbeans
21,50,21,27.0459,48.4396,8.8673,53.4234,mothbeans
13,49,17,28.626,48.5647,3.3981,34.9506,mothbeans
37,49,17,24.2734,56.7664,7.177,47.5156,mothbeans
4,57,18,25.0895,57.3096,5.6023,44.9588,mothbeans
11,57,21,27.0217,47.0,6.7842,44.6467,mothbeans
36,42,20,25.3813,50.9575,5.1286,57.6581,mothbeans
2,43,12,24.3032,59.6349,3.6908,50.549,mothbeans
35,38,13,30.3452,50.1546,6.5094,41.916,mothbeans
22,52,22,29.0175,42.6063,7.4498,53.6302,mothbeans
36,56,24,30.9539,40.8349,6.8555,55.1048,mothbeans
25,38,17,24.3134,54.6485,6.3267,67.4343,mothbeans
23,57,21,23.7953,42.2345,6.415,72.5124,mothbeans
33,54,16,29.1008,42.6968,3.5467,38.1637,mothbeans
0,50,17,26.4178,60.9583,7.5974,67.9005,mothbeans
36,56,23,29.1996,56.1934,8.0644,48.4641,mothbeans
33,48,19,27.5059,62.8204,7.6635,60.7472,mothbeans
19,39,17,30.4044,43.0551,4.6957,51.7476,mothbeans
7,43,20,27.867,55.0107,5.5352,35.4462,mothbeans
21,61,20,27.5522,44.4515,6.9098,34.0249,mothbeans
22,44,17,25.3939,41.6077,4.8694,54.1018,mothbeans
8,39,14,25.1036,46.4195,4.1031,74.1563,mothbeans
27,49,19,25.9903,56.6973,5.7207,41.3432,mothbeans
5,53,18,31.1298,45.5418,8.72,65.9465,mothbeans
18,39,24,29.0889,41.8617,7.093,51.5464,mothbeans
7,55,17,27.0226,62.5391,4.3465,70.534,mothbeans
9,58,19,29.6013,38.8922,6.8954,70.8143,mothbeans
35,49,19,25.6336,52.0889,6.5992,32.4365,mothbeans
24,44,14,31.0435,53.1814,8.336,49.4545,mothbeans
1,58,15,28.8449,50.8395,5.8121,62.2394,mothbeans
16,47,26,30.088,51.4085,4.9597,45.2559,mothbeans
0,42,24,31.2272,45.6963,6.1315,50.1872,mothbeans
31,49,20,25.8399,54.6908,7.0223,52.4729,mothbeans
32,48,24,30.9811,42.3867,4.8502,70.6611,mothbeans
12,53,26,25.0966,42.0381,5.7881,34.8125,mothbeans
10,48,17,27.3017,40.8447,7.3686,29.0837,mothbeans
27,40,20,30.4139,50.2894,5.6944,31.5662,mothbeans
6,37,16,25.4699,55.9778,6.3777,35.1825,mothbeans
10,40,18,29.8385,47.3359,3.5791,50.7841,mothbeans
11,40,22,28.7954,54.4269,4.0662,63.8449,mothbeans
34,51,17,28.6784,44.669,5.5814,64.6509,mothbeans
20,42,28,26.421,41.9028,4.0951,74.2292,mothbeans
5,39,14,24.3869,54.8434,4.58,42.6943,mothbeans
40,37,21,28.4888,44.5189,5.6234,43.4737,mothbeans
5,57,20,28.7638,53.6648,6.2661,47.1432,mothbeans
20,40,21,30.0686,45.9967,6.1014,68.1352,mothbeans
33,43,24,28.2994,53.6356,5.3043,51.8384,mothbeans
14,55,21,30.8544,40.7049,6.2864,58.9775,mothbeans
17,35,24,26.9453,40.8365,7.5312,53.1812,mothbeans
25,35,21,26.2989,53.5839,6.9297,56.2161,mothbeans
1,42,23,28.8262,57.7067,7.2557,40.2375,mothbeans
38,47,27,29.6093,58.9181,6.9242,61.8657,mothbeans
37,46,16,27.1649,52.5199,8.0923,58.0785,mothbeans
10,41,27,25.9703,44.7532,4.2137,56.1291,mothbeans
31,59,14,30.4323,60.6565,8.4826,42.7009,mothbeans
36,45,21,26.7981,40.4082,6.5861,55.0728,mothbeans
13,35,22,28.5784,47.9587,7.4652,54.2989,mothbeans
41,56,17,25.7918,45.9582,5.3244,59.8311,mothbeans
24,43,15,28.4872,52.4093,6.7962,43.776,mothbeans
11,51,15,31.8555,50.2737,5.3312,65.3956,mothbeans
7,43,27,25.8329,50.841,3.6709,51.4961,mothbeans
34,55,20,23.9303,45.4249,8.5772,59.9656,mothbeans
3,40,25,29.7273,49.9677,6.2342,36.4765,mothbeans
29,42,16,27.7422,64.384,4.8509,57.7399,mothbeans
10,38,23,26.4246,53.8428,7.9197,45.602,mothbeans
21,48,22,26.655,52.1893,6.8605,73.8478,mothbeans
18,49,26,30.9753,45.9017,7.4016,46.5488,mothbeans
11,61,16,29.0354,53.3939,5.452,42.7186,mothbeans
9,39,25,28.1769,56.8056,5.7387,68.197,mothbeans
10,43,22,24.1644,41.9175,4.8148,31.6387,mothbeans
5,53,23,28.8378,58.2955,3.5219,76.0923,mothbeans
18,51,22,30.4564,41.2455,6.3436,61.3051,mothbeans
34,40,15,28.5592,53.1288,5.1365,78.9084,mothbeans
14,38,18,27.9053,57.2335,5.0456,58.0883,mothbeans
6,41,16,28.1364,46.0793,5.0655,74.5831,mothbeans
25,56,12,25.5161,48.5426,4.2103,49.2302,mothbeans
13,51,15,25.1663,50.5152,8.5333,71.3844,mothbeans
27,59,21,30.139,61.2461,8.6289,36.492,mothbeans
12,49,20,25.8244,45.7453,5.4923,63.2266,mothbeans
19,42,26,30.1495,44.7313,5.2288,63.9079,mothbeans
26,61,20,27.0557,57.3817,6.5239,69.0221,mothbeans
27,51,24,27.1254,46.2154,5.0037,55.6026,mothbeans
3,53,17,24.6059,57.1071,5.5814,72.5993,mothbeans
40,40,22,26.0791,41.2319,3.3715,53.4243,mothbeans
9,47,17,27.2492,45.1299,6.2267,38.0877,mothbeans
17,60,20,28.6996,49.7869,8.6741,67.35,mothbeans
26,43,17,25.8845,57.6727,4.5315,25.2064,mothbeans
15,48,21,24.4064,45.9977,8.2174,50.1831,mothbeans
34,60,24,30.6761,53.6312,5.3296,51.0392,mothbeans
0,47,17,28.9062,51.7066,6.1575,38.0366,mothbeans
5,53,18,26.6383,85.6838,6.9108,29.7072,mungbean
23,61,21,26.4069,82.5574,7.2169,41.3504,mungbean
1,49,20,28.3498,85.4085,6.6737,49.9384,mungbean
4,55,20,27.3243,83.1892,6.6676,51.7409,mungbean
28,55,12,26.881,82.7942,6.8946,41.3609,mungbean
15,44,20,27.9814,84.7955,6.5082,41.4498,mungbean
28,42,24,26.5404,89.6525,6.9925,49.14,mungbean
16,50,22,26.6463,83.2172,6.3207,52.4444,mungbean
24,49,17,26.8114,83.2696,6.8056,55.3214,mungbean
19,61,15,28.766,88.8769,6.9454,40.0312,mungbean
16,35,19,28.8086,87.7151,6.2281,43.8043,mungbean
30,61,18,28.4728,88.6076,6.5596,52.5626,mungbean
26,55,18,27.6582,79.9173,6.4963,36.959,mungbean
11,38,23,28.4232,84.4272,6.9551,50.6775,mungbean
17,56,24,28.5352,86.6682,6.273,43.3815,mungbean
29,40,18,28.135,90.5843,6.326,55.7046,mungbean
4,48,26,27.498,85.4441,7.2664,44.4317,mungbean
9,53,16,27.6107,85.7892,6.2859,41.6463,mungbean
29,40,15,28.7037,86.3958,7.153,42.9396,mungbean
13,56,19,28.7039,83.1506,6.7831,53.9776,mungbean
7,60,15,27.204,90.0064,6.4153,59.5541,mungbean
17,51,23,26.6489,85.2894,7.0704,53.5211,mungbean
36,53,18,27.0713,84.7303,6.2651,64.961,mungbean
21,46,21,27.4414,88.4651,6.21,53.3327,mungbean
30,52,24,27.2578,88.2636,6.8457,50.9427,mungbean
42,41,20,26.6133,84.4091,6.4128,55.2445,mungbean
16,54,22,27.907,89.4732,6.0781,39.2398,mungbean
21,42,19,28.0958,85.3973,7.2283,49.651,mungbean
19,48,22,26.5382,86.0805,6.466,29.5375,mungbean
38,53,19,28.3148,82.8133,6.0994,53.1513,mungbean
17,45,18,28.3644,85.0712,7.082,36.9712,mungbean
0,34,18,27.8569,83.7732,6.2514,43.1305,mungbean
39,43,18,27.4968,90.1293,6.3318,44.8488,mungbean
14,43,24,28.2593,82.2258,6.5703,40.9338,mungbean
18,56,23,28.5714,86.4158,6.5361,69.4562,mungbean
21,35,20,28.9475,83.7875,6.9168,47.1121,mungbean
26,51,16,26.913,87.7081,6.8308,56.9397,mungbean
0,53,19,27.3509,82.2975,6.4235,50.5808,mungbean
26,56,24,27.4923,87.0394,6.6545,45.1673,mungbean
28,54,20,28.5272,85.2586,7.0154,38.0643,mungbean
36,54,20,27.1514,85.999,6.31,58.1802,mungbean
7,39,20,27.7488,82.8709,6.8183,64.7324,mungbean
33,58,17,27.4471,85.5853,6.5645,37.0781,mungbean
4,43,18,27.4108,81.0603,6.9991,40.7657,mungbean
29,44,19,27.4657,86.8802,6.7533,63.4761,mungbean
18,52,21,27.5538,83.0596,7.0755,39.9849,mungbean
39,35,24,27.5078,80.6537,6.5459,64.1923,mungbean
40,53,11,27.923,84.7983,6.6208,48.906,mungbean
14,44,20,27.3455,89.328,6.9131,37.704,mungbean
43,59,17,26.9999,88.7375,7.0839,58.6202,mungbean
41,40,25,26.434,86.5985,6.5839,47.2131,mungbean
32,52,18,27.6411,86.5539,6.3846,49.693,mungbean
11,52,23,28.0293,84.6248,7.255,44.4629,mungbean
25,56,26,29.7154,90.2054,6.2778,43.8627,mungbean
21,48,23,28.4156,81.4703,6.6871,66.0249,mungbean
23,35,21,27.8114,86.0304,6.7639,40.0063,mungbean
25,41,23,28.1767,81.0521,6.5137,69.3479,mungbean
11,54,28,27.5239,89.1217,6.3042,46.8642,mungbean
17,47,21,29.5243,86.8942,7.1459,41.6485,mungbean
21,44,18,29.0055,90.5419,6.4739,45.9987,mungbean
30,37,24,28.245,83.1179,6.3087,42.0343,mungbean
0,39,19,28.066,83.0399,6.8093,35.4471,mungbean
33,42,20,28.2657,83.5759,6.8269,55.4402,mungbean
18,47,24,27.453,82.6217,7.028,35.4135,mungbean
24,47,15,28.5941,87.1541,6.8484,64.9455,mungbean
20,53,20,27.2379,88.458,6.4882,65.0281,mungbean
36,52,21,28.8209,84.3691,6.8076,55.1097,mungbean
35,56,18,29.6503,87.2142,6.6035,37.6443,mungbean
8,41,22,29.3672,83.4481,6.449,45.7439,mungbean
17,60,24,27.3199,82.0342,6.5669,49.1922,mungbean
8,49,22,28.8975,82.6936,6.4069,44.432,mungbean
40,41,18,29.0956,88.3075,7.3278,40.4812,mungbean
19,47,18,26.7875,89.2684,6.6769,44.1267,mungbean
12,45,24,27.1763,88.0575,6.6106,43.9007,mungbean
36,39,21,28.5143,91.4484,6.8027,63.6635,mungbean
6,47,17,28.3297,88.3529,7.2732,37.0183,mungbean
29,46,16,28.5581,82.42,6.7658,37.0308,mungbean
8,38,23,28.4143,83.9416,6.8499,53.6965,mungbean
9,50,18,28.1843,84.5872,7.0886,35.8342,mungbean
20,49,20,27.5672,82.6163,6.4142,39.0624,mungbean
39,51,24,26.9094,82.0428,6.1911,48.1965,mungbean
10,52,13,27.9425,89.7556,6.3934,62.1659,mungbean
4,50,23,27.7876,88.439,6.9009,33.0726,mungbean
5,43,22,27.9664,90.8271,6.7348,60.9063,mungbean
8,54,20,29.2246,91.1447,6.3017,49.2727,mungbean
24,54,19,27.3033,84.4468,6.1239,62.4173,mungbean
36,41,20,29.3402,80.685,7.1461,49.2235,mungbean
2,56,14,29.9619,84.0269,6.8735,45.3582,mungbean
22,46,25,27.7746,89.3728,6.3313,27.7035,mungbean
3,53,19,28.9924,83.5185,6.6443,55.5081,mungbean
34,37,14,27.1222,85.503,6.9324,42.0501,mungbean
30,49,21,27.0858,85.7982,6.7417,43.805,mungbean
13,53,24,28.0143,88.0053,6.8387,52.7211,mungbean
27,57,17,28.1788,83.697,6.958,56.9238,mungbean
3,59,23,28.5731,86.9841,6.6126,47.5043,mungbean
39,52,13,29.6098,84.257,6.516,52.7861,mungbean
34,51,21,27.9509,90.3323,6.744,49.65,mungbean
5,63,25,27.2734,80.6776,6.204,43.3798,mungbean
10,45,22,27.9454,82.1252,6.9975,51.2179,mungbean
30,61,24,27.3896,82.9476,6.6049,49.8947,mungbean
53,54,26,30.4157,64.5235,7.1163,66.9703,blackgram
43,54,24,33.9471,62.8268,6.8276,73.8955,blackgram
32,82,24,34.6691,66.0776,7.5739,69.2025,blackgram
32,80,18,31.8273,64.707,6.6655,64.7228,blackgram
54,73,28,32.3662,68.175,7.1494,75.2173,blackgram
29,62,21,26.0093,61.3022,7.4773,67.8669,blackgram
58,80,22,26.5031,59.4694,7.069,58.5275,blackgram
36,73,21,29.3707,65.5078,7.2304,69.9042,blackgram
27,68,18,33.6088,64.4804,6.9336,56.9978,blackgram
51,69,22,33.8193,69.5483,6.7349,68.9073,blackgram
43,65,23,33.5222,65.6744,6.6067,80.036,blackgram
51,61,18,35.5394,59.5746,7.2082,67.1255,blackgram
41,70,16,24.4205,65.0181,6.5568,54.2581,blackgram
60,81,26,30.9483,64.897,6.7574,73.4703,blackgram
50,57,24,26.2759,67.2304,7.0743,60.4776,blackgram
53,65,21,34.2814,61.7456,6.7307,80.4049,blackgram
52,64,24,28.6532,64.0755,7.1956,58.6006,blackgram
28,66,23,31.6343,68.4747,6.7138,71.2274,blackgram
53,72,16,30.642,61.671,7.2214,68.4924,blackgram
36,57,19,28.6414,63.9349,7.4303,69.1089,blackgram
54,64,19,31.6625,58.1836,7.3297,59.439,blackgram
44,61,17,29.8067,67.9812,7.2216,62.7679,blackgram
54,78,21,25.5232,66.6842,6.7171,65.4363,blackgram
55,68,16,30.5227,67.3733,6.6514,67.5526,blackgram
37,76,22,29.4545,60.0765,6.8019,62.5159,blackgram
44,78,20,33.1665,66.6975,7.0605,64.816,blackgram
64,57,26,26.522,64.1162,7.3287,59.5747,blackgram
35,69,26,31.0923,71.5453,6.7047,72.2316,blackgram
23,76,17,28.0051,67.8523,6.9205,76.824,blackgram
25,72,25,32.4973,69.3014,6.5548,63.2509,blackgram
52,75,19,33.7888,62.2081,6.9511,70.6881,blackgram
54,63,17,24.4793,64.2489,7.3946,71.6363,blackgram
37,62,24,35.2723,67.3273,7.3812,63.5045,blackgram
52,64,12,28.6479,64.9163,6.3714,67.6005,blackgram
55,82,20,32.6775,67.1161,6.7521,71.9429,blackgram
33,59,17,30.6138,61.3993,7.5012,58.6022,blackgram
49,78,16,28.142,65.1218,7.4417,78.8132,blackgram
25,71,17,28.4456,63.776,6.3834,77.8997,blackgram
22,71,18,26.7711,68.4493,6.7998,59.5419,blackgram
35,62,24,33.7123,61.753,6.4213,64.1519,blackgram
36,66,22,32.6118,67.7536,7.0834,69.0012,blackgram
28,81,15,26.7718,66.393,7.441,72.0351,blackgram
55,67,19,31.6399,67.0778,6.4987,68.9622,blackgram
34,63,24,34.9965,59.5331,7.0814,62.5858,blackgram
48,60,24,31.2805,64.9762,7.3578,72.5962,blackgram
26,70,24,26.2379,61.3947,6.5448,71.3045,blackgram
43,58,17,28.0669,69.0443,7.301,83.2057,blackgram
52,66,15,25.6648,61.2234,7.1783,62.4522,blackgram
28,66,20,28.3126,58.0295,7.3124,63.9424,blackgram
58,77,26,34.0982,69.5845,6.586,71.5972,blackgram
46,69,14,26.6092,63.5208,6.6343,69.3517,blackgram
33,69,23,35.0798,61.4306,6.6362,70.5309,blackgram
58,75,17,27.077,64.4936,6.7962,67.844,blackgram
55,64,24,30.3958,61.011,6.5618,57.2927,blackgram
52,78,18,25.8998,69.4734,6.5171,75.4701,blackgram
60,67,21,30.2064,67.9328,7.3914,64.4657,blackgram
52,69,16,28.2233,65.2117,6.9539,73.966,blackgram
32,75,20,31.8013,59.7459,7.0203,78.3845,blackgram
51,70,24,29.47,59.3944,6.9861,72.2611,blackgram
33,62,27,28.9428,68.3486,6.7923,78.1304,blackgram
44,68,18,27.7311,60.3635,7.5214,66.0306,blackgram
56,76,17,29.9698,61.7338,6.6782,74.5716,blackgram
39,65,19,34.2662,64.4969,7.3524,59.7897,blackgram
55,69,23,31.4571,59.0064,7.0143,65.4997,blackgram
45,67,14,25.1805,64.9234,6.6858,67.3269,blackgram
38,64,23,24.906,69.8423,7.2214,68.5962,blackgram
46,63,12,32.5391,68.3939,7.0916,65.143,blackgram
46,63,25,25.691,66.947,6.5868,72.1968,blackgram
59,79,24,29.39,62.8146,7.164,62.0206,blackgram
29,71,25,26.6749,62.7982,6.9924,82.1213,blackgram
55,69,19,30.4758,64.9286,7.3121,81.1546,blackgram
22,79,19,33.7869,68.6608,6.8581,65.8259,blackgram
28,65,18,32.6361,65.9659,6.7717,61.1079,blackgram
46,57,20,34.7358,65.9016,6.8987,65.3402,blackgram
44,73,16,28.3317,67.4812,6.7809,68.5673,blackgram
57,76,25,27.7873,62.2123,6.8153,61.2817,blackgram
38,77,17,31.9025,61.2368,6.639,67.2182,blackgram
39,73,20,31.7178,60.0064,7.096,59.5342,blackgram
34,63,24,33.8906,57.6216,7.1429,71.1796,blackgram
37,78,20,31.2726,69.7304,7.0087,74.0888,blackgram
49,69,22,27.8737,70.1564,6.567,54.9169,blackgram
38,72,25,28.5516,65.7311,6.711,66.179,blackgram
55,70,23,27.7748,60.7893,6.4521,55.1896,blackgram
29,58,22,35.9839,68.8325,6.8984,69.515,blackgram
31,64,22,28.4205,61.6431,6.7435,67.0399,blackgram
29,65,17,26.0071,68.8485,7.1672,67.9826,blackgram
50,79,15,32.3928,63.1751,7.5146,59.4615,blackgram
54,69,20,25.4339,64.8222,6.4986,58.3405,blackgram
27,69,20,31.8006,62.7762,6.5046,66.6664,blackgram
57,69,19,28.0032,67.5922,7.0413,71.9444,blackgram
47,78,19,32.3071,66.982,6.5507,57.5115,blackgram
26,76,23,32.5959,68.348,6.7477,68.2449,blackgram
32,67,11,24.2928,68.1299,6.8975,79.2637,blackgram
54,77,25,27.896,59.3152,6.8261,66.3102,blackgram
57,63,22,27.5571,64.2896,7.3246,66.8227,blackgram
52,64,21,32.9029,70.1632,6.7261,64.202,blackgram
30,68,21,27.838,66.6639,6.7071,73.0955,blackgram
49,65,14,26.2185,60.1611,6.9981,64.8679,blackgram
50,72,23,26.3539,65.3236,7.5951,72.5525,blackgram
46,60,25,34.6112,60.8284,6.7906,61.4073,blackgram
8,61,22,24.2691,61.4965,6.0693,37.7555,lentil
15,61,15,25.6119,61.9651,6.2472,53.2696,lentil
19,60,24,20.8685,61.0714,6.605,36.4958,lentil
37,61,21,20.1084,66.3813,6.223,40.3568,lentil
29,70,21,22.41,64.9565,6.1568,38.4098,lentil
15,62,19,27.1507,71.4183,6.2465,54.4944,lentil
25,58,20,28.2738,62.4955,6.2066,44.2188,lentil
22,57,20,19.2097,65.6366,6.7139,29.7481,lentil
9,76,24,22.2254,62.0947,6.1622,44.3726,lentil
17,74,20,22.1521,61.9768,6.4526,49.9958,lentil
20,76,22,19.6173,66.4048,6.7638,52.5195,lentil
31,69,24,18.9492,60.5737,6.3473,41.1276,lentil
38,59,25,21.5569,60.5208,6.8447,40.0616,lentil
25,53,18,28.8989,59.3942,6.4451,56.3958,lentil
16,73,19,22.507,66.8639,6.4241,47.8657,lentil
3,65,25,26.2011,62.4035,6.1875,52.291,lentil
19,79,21,21.8911,69.5943,6.6702,36.1776,lentil
1,79,21,18.686,60.978,6.2687,56.331,lentil
3,74,27,29.7878,59.2716,6.1905,46.6147,lentil
35,78,20,24.088,58.6431,5.852,38.1457,lentil
3,72,20,23.9189,65.2713,6.7758,45.2785,lentil
21,77,21,29.6593,66.7076,6.0645,38.3915,lentil
26,69,26,26.321,65.026,6.8071,38.4318,lentil
7,65,25,20.4624,58.9137,6.1979,44.3687,lentil
7,61,15,27.3191,69.1073,6.381,32.4599,lentil
22,79,15,25.3855,61.0798,5.8649,48.7276,lentil
23,62,22,29.9625,70.8914,5.9819,48.7549,lentil
4,60,20,20.4367,60.7232,6.046,36.8133,lentil
15,61,22,26.7187,63.6295,6.2668,38.2451,lentil
2,57,19,24.1105,67.7413,6.2511,54.6715,lentil
40,70,19,20.5854,59.8377,6.4295,48.2435,lentil
9,59,26,18.5443,64.5775,6.2386,49.1986,lentil
20,60,21,27.0651,59.9176,6.2955,37.4083,lentil
17,73,18,21.654,64.0933,6.2338,45.0614,lentil
21,78,18,27.2381,70.0064,6.5685,34.7755,lentil
38,74,18,24.9606,61.5795,6.3567,54.5626,lentil
22,53,19,19.9044,70.0945,6.738,45.3017,lentil
41,76,20,21.6216,63.1838,6.1031,52.5576,lentil
25,61,21,22.3836,66.3485,6.0564,48.0257,lentil
13,61,22,27.2974,60.6276,6.2153,34.535,lentil
34,60,21,25.0991,58.7291,6.5211,30.2496,lentil
35,80,17,28.8773,63.1279,5.8696,55.5308,lentil
16,61,21,19.5777,65.6522,6.0712,30.2252,lentil
22,61,18,25.7479,69.6635,6.1177,54.3078,lentil
36,62,22,26.1219,68.5349,6.7308,29.8627,lentil
39,64,23,28.4518,64.0935,6.4063,40.5064,lentil
32,57,24,25.7642,69.8497,6.3206,41.1116,lentil
19,59,20,21.5412,63.1302,6.2925,36.6669,lentil
30,78,24,25.9672,63.0265,6.3186,50.9038,lentil
27,63,22,20.4454,58.8447,6.0888,53.5613,lentil
29,70,14,24.4132,64.8527,6.94,41.1005,lentil
12,65,15,29.5887,63.5372,6.2426,45.4137,lentil
21,77,15,28.2983,63.5475,6.5952,49.8038,lentil
15,62,27,18.3752,63.2245,5.9394,34.5363,lentil
37,78,17,18.3476,68.4274,6.4719,44.2265,lentil
30,62,12,28.1844,60.5886,5.7525,41.4262,lentil
1,76,15,20.7448,66.2594,6.1856,33.7306,lentil
7,63,22,19.4811,65.3464,5.6929,30.0457,lentil
22,59,25,30.2955,63.9746,5.9241,38.5377,lentil
23,75,21,24.9412,65.8211,6.6582,48.2305,lentil
14,69,17,19.3632,68.2945,6.1189,46.4029,lentil
1,53,17,29.689,66.808,6.2165,55.337,lentil
24,77,16,27.1615,65.9044,6.0275,32.9891,lentil
4,68,18,29.4493,67.3705,6.4566,39.4497,lentil
12,58,18,26.4123,62.4611,6.1102,57.3702,lentil
9,80,26,19.8226,68.0808,6.0858,40.0813,lentil
2,63,17,20.803,61.2424,6.4719,37.2058,lentil
24,77,13,25.1521,69.1258,6.5344,46.6315,lentil
12,58,23,19.1847,68.2535,6.6101,47.1503,lentil
5,63,17,20.7427,61.7813,6.6975,26.6588,lentil
26,55,12,20.599,70.1496,6.2174,48.9586,lentil
33,64,22,19.3341,66.9718,6.0625,38.7367,lentil
6,72,22,18.752,61.807,6.6597,38.1592,lentil
28,77,18,25.0812,64.4493,6.4671,42.3072,lentil
27,80,22,23.9723,66.0485,6.0848,40.5279,lentil
29,72,17,28.3861,61.5284,6.1143,53.9585,lentil
35,59,18,28.5543,64.918,6.5341,42.3347,lentil
38,59,24,25.1622,61.0977,6.5735,49.8747,lentil
9,78,19,22.5614,64.0183,6.7127,58.4625,lentil
2,75,19,29.75,69.552,6.6019,48.276,lentil
23,63,13,20.5918,62.0741,6.7066,44.2071,lentil
20,68,19,19.0717,60.8953,6.6346,41.0139,lentil
9,58,25,17.5382,70.9624,5.923,50.4969,lentil
31,75,18,24.5648,67.8786,6.1335,37.8894,lentil
0,61,24,18.8351,66.1815,6.4055,48.5343,lentil
20,71,24,29.8505,63.0468,6.7358,34.2562,lentil
23,57,22,24.6076,62.4584,6.7059,47.6671,lentil
35,74,24,24.2433,68.6601,6.5187,57.7813,lentil
19,62,21,18.6529,68.3543,6.4855,46.0221,lentil
12,72,21,25.6748,58.6621,6.453,46.1637,lentil
15,50,25,25.4177,62.7579,6.5619,47.8058,lentil
33,65,17,25.3914,67.8752,6.857,45.1847,lentil
6,65,21,18.4419,66.3212,6.692,57.4361,lentil
13,68,19,24.1898,69.6492,6.2412,44.5986,lentil
28,73,19,29.1387,67.192,6.6467,60.7746,lentil
39,67,19,24.3581,65.2503,6.4083,36.0828,lentil
19,62,23,29.2426,68.9372,6.3771,48.9532,lentil
39,57,17,23.0271,68.9037,6.1005,51.6118,lentil
9,64,20,20.9571,61.2791,6.5852,48.686,lentil
35,76,19,28.161,60.1378,6.1599,31.4008,lentil
2,8,43,22.015,87.2022,5.7818,98.7757,pomegranate
3,23,33,18.6365,84.6409,6.5381,103.5888,pomegranate
12,28,38,24.7565,85.9512,6.2445,94.6476,pomegranate
13,9,40,24.8479,85.8467,7.028,111.8855,pomegranate
27,20,45,23.6331,89.6106,6.686,96.5068,pomegranate
15,5,42,18.3719,88.1839,6.3681,102.9834,pomegranate
35,17,41,23.643,90.0462,5.9265,104.9209,pomegranate
29,22,37,21.5995,87.1598,7.064,115.2416,pomegranate
